01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
2020,Chipre,,,,,,21.0
2020,Croácia,,,,,,5.7
2020,Dinamarca,,,,,,3.0
2020,Eslováquia,,,,,,5.7
2020,Eslovénia,,,,,,2.8
2020,Espanha,,,,,,10.9
2020,Estónia,,,,,,2.7
2020,Finlândia,,,,,,1.8
2020,França,,,,,Quebra de série,6.7
2020,Grécia,,,,,,17.1
2020,Hungria,,,,,r,4.1
2020,Irlanda,,,,,Quebra de série,3.6
2020,Itália,,,,,,8.3
2020,Letónia,,,,,,6.0
2020,Lituânia,,,,,,23.1
2020,Luxemburgo,,,,,Quebra de série,3.6
2020,Malta,,,,,,7.2
2020,Países Baixos,,,,,,2.4
2020,Polónia,,,,,,3.2
2020,Portugal,,,,,,17.5
2020,Roménia,,,,,,10.0
2020,Suécia,,,,,,2.7
2021,Alemanha,,,,,,3.3
2021,Áustria,,,,,,1.7
2021,Bélgica,,,,,,3.5
2021,Bulgária,,,,,,23.7
2021,Chéquia,,,,,,2.2
2021,Chipre,,,,,,19.2
2021,Croácia,,,,,,5.7
2021,Dinamarca,,,,,,2.8
2021,Eslováquia,,,,,,5.8
2021,Eslovénia,,,,,,1.7
2021,Espanha,,,,,,14.2
2021,Estónia,,,,,,2.0
2021,Finlândia,,,,,,1.3
2021,França,,,,,,6.0
2021,Grécia,,,,,,17.5
2021,Hungria,,,,,,5.4
2021,Irlanda,,,,,,3.4
2021,Itália,,,,,,8.1
2021,Letónia,,,,,,4.9
2021,Lituânia,,,,,,22.5
2021,Luxemburgo,,,,,Quebra de série,2.5
2021,Malta,,,,,,7.8
2021,Países Baixos,,,,,,2.4
2021,Polónia,,,,,,3.2
2021,Portugal,,,,,Quebra de série,16.4
2021,Roménia,,,,,,10.1
2021,Suécia,,,,,,1.7
2022,Alemanha,,,,,,6.7
2022,Áustria,,,,,,2.7
2022,Bélgica,,,,,,5.0
2022,Bulgária,,,,,,22.5
2022,Chéquia,,,,,,2.9
2022,Chipre,,,,,,19.0
2022,Croácia,,,,,,7.0
2022,Dinamarca,,,,,,5.1
2022,Eslováquia,,,,,,7.1
2022,Eslovénia,,,,,,2.6
2022,Espanha,,,,,,17.1
2022,Estónia,,,,,,3.4
2022,Finlândia,,,,,,1.4
2022,França,,,,,Quebra de série,10.7
2022,Grécia,,,,,,18.7
2022,Hungria,,,,,r,4.6
2022,Irlanda,,,,,,6.8
2022,Itália,,,,,,8.8
2022,Letónia,,,,,,7.1
2022,Lituânia,,,,,,17.5
2022,Luxemburgo,,,,,Quebra de série,2.1
2022,Malta,,,,,,7.6
2022,Países Baixos,,,,,,5.3
2022,Polónia,,,,,,4.9
2022,Portugal,,,,,,17.5
2022,Roménia,,,,,,15.2
2022,Suécia,,,,,,3.3
2023,Alemanha,,,,,,8.2
2023,Áustria,,,,,,3.9
2023,Bélgica,,,,,,6.0
2023,Bulgária,,,,,,20.7
2023,Chéquia,,,,,,6.1
2023,Chipre,,,,,,17.1
2023,Croácia,,,,,,6.2
2023,Dinamarca,,,,,,6.9
2023,Eslováquia,,,,,,8.1
2023,Eslovénia,,,,,,3.6
2023,Espanha,,,,,,20.8
2023,Estónia,,,,,,4.1
2023,Finlândia,,,,,,2.6
2023,França,,,,,,12.1
2023,Grécia,,,,,,19.2
2023,Hungria,,,,,r,7.1
2023,Irlanda,,,,,,7.2
2023,Itália,,,,,,9.5
2023,Letónia,,,,,,6.6
2023,Lituânia,,,,,Quebra de série,20.0
2023,Luxemburgo,,,,,,2.1
2023,Malta,,,,,,6.8
2023,Países Baixos,,,,,,7.1
2023,Polónia,,,,,,4.7
2023,Portugal,,,,,,20.8
2023,Roménia,,,,,,12.5
2023,Suécia,,,,,,5.9
2024,Alemanha,,,,,,6.3
2024,Áustria,,,,,,4.0
2024,Bélgica,,,,,,4.8
2024,Bulgária,,,,,,19.0
2024,Chéquia,,,,,,4.9
2024,Chipre,,,,,,14.6
2024,Croácia,,,,,,4.6
2024,Dinamarca,,,,,,4.4
2024,Eslováquia,,,,,,8.3
2024,Eslovénia,,,,,,3.3
2024,Espanha,,,,,,17.5
2024,Estónia,,,,,,3.6
2024,Finlândia,,,,,,2.7
2024,França,,,,,,11.8
2024,Grécia,,,,,,19.0
2024,Hungria,,,,,r,6.0
2024,Irlanda,,,,,,4.9
2024,Itália,,,,,,8.6
2024,Letónia,,,,,,4.9
2024,Lituânia,,,,,Pro,18.0
2024,Luxemburgo,,,,,,3.6
2024,Malta,,,,,,7.8
2024,Países Baixos,,,,,,7.1
2024,Polónia,,,,,,3.3
2024,Portugal,,,,,,15.7
2024,Roménia,,,,,,10.8
2024,Suécia,,,,,,4.1
,,,,,,,
,Indicador: População sem capacidade para manter a casa adequadamente aquecida (%),,,,,,
,Ultima atualização: 14.10.2025,,,,,,
,Fonte: Base de dados do Eurostat,,,,,,
